number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
62,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:36.988871,2024-01-16 16:33:37.129364,0 days 00:00:00.140493,2.4007852255959,22,2.206385393480181,21,1,COMPLETE
63,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:37.131450,2024-01-16 16:33:37.279752,0 days 00:00:00.148302,2.4777641137587483,20,2.1939264284769444,23,1,COMPLETE
64,0.33252397882174395,0.04820073424248164,2024-01-16 16:33:37.280748,2024-01-16 16:33:37.434934,0 days 00:00:00.154186,2.484981948805158,19,2.043534418896223,20,1,COMPLETE
65,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:37.434934,2024-01-16 16:33:37.558761,0 days 00:00:00.123827,2.4099562380501673,20,2.0726130716557623,23,1,COMPLETE
66,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:37.560009,2024-01-16 16:33:37.687259,0 days 00:00:00.127250,2.3603248429981845,22,2.2016890761454717,23,1,COMPLETE
67,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:37.687259,2024-01-16 16:33:37.820681,0 days 00:00:00.133422,2.3168359548620696,22,2.1939264284769444,23,1,COMPLETE
68,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:37.820681,2024-01-16 16:33:37.970941,0 days 00:00:00.150260,2.4777641137587483,20,2.2016890761454717,23,1,COMPLETE
69,-0.9498391119716277,-0.21292452356332603,2024-01-16 16:33:37.972056,2024-01-16 16:33:38.108945,0 days 00:00:00.136889,2.4382302540781198,23,2.2869467292749444,22,1,COMPLETE
70,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:38.110341,2024-01-16 16:33:38.225228,0 days 00:00:00.114887,2.342141844009088,21,2.028155192721837,22,1,COMPLETE
71,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:38.226291,2024-01-16 16:33:38.377003,0 days 00:00:00.150712,2.4777641137587483,20,2.1939264284769444,22,1,COMPLETE
72,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:38.378998,2024-01-16 16:33:38.492698,0 days 00:00:00.113700,2.474883515854181,22,2.2914574903608824,25,1,COMPLETE
73,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:38.492698,2024-01-16 16:33:38.602444,0 days 00:00:00.109746,2.4641098710033207,22,2.0264407276317353,23,1,COMPLETE
74,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:38.602444,2024-01-16 16:33:38.729763,0 days 00:00:00.127319,2.3141581755136356,22,2.074520635272403,21,1,COMPLETE
75,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:38.732139,2024-01-16 16:33:38.844373,0 days 00:00:00.112234,2.31728390450497,22,2.106746189071255,24,1,COMPLETE
76,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:38.844373,2024-01-16 16:33:38.974755,0 days 00:00:00.130382,2.447760937357428,21,2.223124879827559,24,1,COMPLETE
77,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:38.975754,2024-01-16 16:33:39.080190,0 days 00:00:00.104436,2.372566642480752,22,2.0673560498215564,24,1,COMPLETE
78,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:39.081185,2024-01-16 16:33:39.206570,0 days 00:00:00.125385,2.4784074981147453,19,2.0573030659050957,25,1,COMPLETE
79,-0.2788819966176343,-0.12269582391483937,2024-01-16 16:33:39.207560,2024-01-16 16:33:39.326407,0 days 00:00:00.118847,2.447760937357428,21,2.28501315203599,23,1,COMPLETE
80,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:39.326407,2024-01-16 16:33:39.471647,0 days 00:00:00.145240,2.445412672339858,21,2.1854258636900403,26,1,COMPLETE
81,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:39.472648,2024-01-16 16:33:39.589014,0 days 00:00:00.116366,2.445412672339858,21,2.05001584011175,26,1,COMPLETE
82,-0.6998492497344833,-0.22418559444840924,2024-01-16 16:33:39.589014,2024-01-16 16:33:39.715999,0 days 00:00:00.126985,2.3702681548783873,22,2.275267262188232,23,1,COMPLETE
83,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:39.717005,2024-01-16 16:33:39.842229,0 days 00:00:00.125224,2.4342710233214,22,2.0223490419679484,21,1,COMPLETE
84,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:39.842229,2024-01-16 16:33:40.029261,0 days 00:00:00.187032,2.4307796574013167,20,2.1939264284769444,23,1,COMPLETE
