,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
1075,2020-06-11,11691000,3402341000,293.5,296.5,286.5,288.5,-6.0,8777
1076,2020-06-12,10033000,2889271000,282.0,291.5,280.0,289.0,0.5,7186
1077,2020-06-15,11640000,3384745000,294.0,297.0,283.0,283.0,-6.0,8491
1078,2020-06-16,11922000,3501704000,289.0,297.0,288.5,296.5,13.5,8743
1079,2020-06-17,7191000,2110044000,296.5,298.0,290.5,293.5,-3.0,5698
1080,2020-06-18,9354000,2746428000,295.5,298.0,290.5,291.5,-2.0,5680
1081,2020-06-19,12789000,3807254000,293.5,301.5,292.0,297.0,5.5,7741
1082,2020-06-22,10210000,3109843000,298.0,309.5,297.0,305.0,8.0,7473
1083,2020-06-23,7417000,2233690000,306.5,308.0,297.0,299.0,-6.0,5673
1084,2020-06-24,5044000,1505067000,302.0,304.0,295.0,295.0,-4.0,3751
1085,2020-06-29,6319000,1854233000,294.0,298.0,289.5,291.0,-4.0,4056
1086,2020-06-30,6112000,1822438000,296.5,301.5,296.0,299.0,8.0,4256
1087,2020-07-01,6153000,1808385000,295.5,296.5,291.0,292.5,0.5,4326
1088,2020-07-02,3459000,1012698000,295.0,295.0,291.5,292.0,-0.5,2430
1089,2020-07-03,5474000,1608395000,294.5,296.5,290.5,293.0,1.0,3627
1090,2020-07-06,9923000,3000392000,295.0,307.0,294.0,306.0,13.0,7134
1091,2020-07-07,14691000,4552057000,312.0,315.5,302.5,306.0,0.0,10002
1092,2020-07-08,15492000,4926629000,306.0,327.0,306.0,326.0,20.0,11007
1093,2020-07-09,12260000,4041608000,331.0,334.5,326.0,326.0,0.0,8705
1094,2020-07-10,9869000,3118121000,326.0,327.0,311.0,311.5,-14.5,7285
1095,2020-07-13,5121000,1627009000,319.0,321.0,314.0,319.0,7.5,4073
1096,2020-07-14,6323000,2020061000,320.0,322.0,313.0,321.5,2.5,4198
1097,2020-07-15,7994000,2539983000,325.5,327.5,310.5,311.5,-10.0,6235
1098,2020-07-16,6200000,1965958000,319.0,321.0,313.0,315.0,3.5,4657
1099,2020-07-17,16773000,5509512000,320.5,334.0,320.0,331.0,16.0,12438
1100,2020-07-20,13185000,4263873000,334.5,337.5,316.5,317.5,-13.5,9962
1101,2020-07-21,8974000,2931056000,320.5,332.0,320.0,330.5,13.0,6761
1102,2020-07-22,4261000,1391103000,329.5,329.5,324.0,327.0,-3.5,3453
1103,2020-07-23,4931000,1589466000,328.0,328.0,319.5,326.0,-1.0,3826
1104,2020-07-24,7475000,2429587000,326.0,331.0,320.0,321.0,-5.0,5686
1105,2020-07-27,9185000,3056214000,326.0,339.0,326.0,339.0,18.0,7152
1106,2020-07-28,14513000,4967468000,345.0,359.0,326.0,334.0,-5.0,10888
1107,2020-07-29,16404000,5281224000,326.5,333.0,313.0,318.5,-15.5,11809
1108,2020-07-30,7277000,2341593000,324.5,326.0,319.0,322.0,3.5,5421
1109,2020-07-31,7248000,2297090000,323.0,323.0,313.5,317.0,-5.0,5354
1110,2020-08-03,15092000,4593818000,317.5,319.0,299.0,299.0,-18.0,11375
1111,2020-08-04,7755000,2356781000,301.0,308.0,301.0,302.0,3.0,5623
1112,2020-08-05,3894000,1183935000,305.0,307.0,302.0,304.5,2.5,3299
1113,2020-08-06,5452000,1658829000,308.0,309.0,301.0,302.5,-2.0,4504
1114,2020-08-07,5231000,1587930000,304.0,306.5,301.0,303.5,1.0,3807
1115,2020-08-10,4671000,1388557000,303.5,303.5,293.5,298.0,-5.5,3779
1116,2020-08-11,4092000,1214184000,297.0,302.5,294.0,294.0,-4.0,3372
1117,2020-08-12,6907000,2052359000,294.0,303.5,286.5,303.0,9.0,5165
1118,2020-08-13,5110000,1535809000,305.5,305.5,297.5,299.5,-3.5,3847
1119,2020-08-14,2721000,819523000,297.5,304.0,297.0,303.0,3.5,2137
1120,2020-08-17,2323000,700738000,303.5,305.0,298.5,300.5,-2.5,1902
1121,2020-08-18,12693000,3639409000,295.0,297.5,279.0,284.5,-16.0,9129
1122,2020-08-19,6644000,1896956000,288.5,292.0,281.0,281.5,-3.0,4929
1123,2020-08-20,16914000,4444763000,276.5,277.5,255.0,260.0,-21.5,11914
